Название;Ссылка;Цена
Skirt with Lacing;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93811-A/;$34.99
Top with Tie;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94967-A/;$17.99
Joggers;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/92905-A/;$34.99
Chiffon Dress with Flounce;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/97504-A/;$49.99
Skirt with Lacing;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93811-B/;$34.99
V-neck Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/95168-D/;$9.99
Hooded Jacket;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/52378-D/;$29.99
Hooded Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/60135-A/;$29.99
Lyocell-blend Blouse;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/91865-A/;$34.99
Bib Overall Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94323-A/;$29.99
Wide-leg Pants;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/92942-B/;$34.99
Ankle-length Slim-fit Pants;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93270-A/;$24.99
Short Sweatshirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96230-D/;$9.99
V-neck Blouse;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/97571-B/;$17.99
Short Skirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/92740-A/;$24.99
Mesh T-shirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94984-A/;$17.99
Blouse with Embroidery;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96236-C/;$59.99
Wide-cut Cotton Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/99663-A/;$34.99
Pleated Skirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/00268-B/;$54.99
Coat;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/98209-A/;$69.99
Wide-leg Pants;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93158-A/;$49.99
Top;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/00948-B/;$29.99
Knit Mohair-blend Sweater;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/94321-B/;$69.99
Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/98086-A/;$69.99
T-shirt with Embroidery;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/01007-C/;$29.99
Blouse with Ruffled Collar;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/98894-A/;$49.99
Pants;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/00286-B/;$49.99
Jersey Dress;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96113-B/;$19.99
T-shirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96771-B/;$6.99
T-shirt;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/96771-A/;$6.99
Blazer;https://scrapingclub.com/exercise/list_basic//exercise/list_basic_detail/93086-B/;$49.99
